"comment_author","comment_date","comment_text"
"Promethean Allegory","2022-08-04T01:16:24Z","The climate is changing! ….like, that’s never happened before. Give money to the UN, John Kerry, and the World economic forum and reduce your lifestyle to that of medieval Europe and no doubt we can impact temperatures at least a half a degree….in fifty years."
"Bobo Doritos","2022-08-03T23:58:45Z","Seeing the impact I think it's already too late to reverse it. Let's just all get together in and sing Kumbaya in our final moment"
"Wayne Patterson","2022-08-03T20:46:09Z","Wayne Patterson --- The video is pretending to know the Global temperatures with an accuracy measured in tenths of a degree C/F, which they do not actually know and has not been observed by empirical means. The video is pretending to know the atmospheric levels of Carbon dioxide over periods of decades, centuries, and miillenia with an accuracy that has never existed. In other words, the video is based upon invalid  pseudoscientific pretense which is the antithesis of actual science."
"Emile Cossette","2022-08-03T19:18:30Z","Will never happened. It’s the inevitable. We just need to bide our time. The human race is not smart enough to combat climate change. Greed is our demise."
"Justin Harvie","2022-08-03T14:42:02Z","This is the world that you are leaving for your offspring and future descendants. For now, I think my bloodline might as well end with me, as I don't want to make my potential offspring suffer."
"James Taylor","2022-08-03T14:16:33Z","The earth has done this before it’s not man made even though we have done a number on this planet, the sun is changing as well so what ever is happening cannot be altered!!"
"svetlana the cat-snake","2022-08-03T14:12:59Z","I know what you mean. When I was younger our winter weather would be -2 degrees F. Now it's 20 degrees F! The birds arent migrating as much anymore either."
"richard horsham","2022-08-03T09:06:34Z","I think one of the problems is we as humans are taking too much water out of the system. Just look at shop shelves stacked high with fresh water.
I would like a computer model of a planet with fresh water taken and stored in warehouses and shops."
"Samsung teach","2022-08-03T04:10:33Z","Our planet is slowly dieing from global worming because of other people who don't want to buy a electric car or buy solar to store the into the solar panels it's sad seeing out planet slowly die like this"
"James Allen","2022-08-03T01:24:09Z","Earth is at +2.3C today. While 1.2C of that is being masked by world Aircraft pollution in the stratosphere blocking/reflecting solar radiation back into space.

Stop all air travel and find out.

Oh, we did for a week after 9/11 and discovered this bit of reality at the time. Crickets since."
"Sebastian Volkmann","2022-08-02T14:50:12Z","New World Order Propaganda!!!!!!!!!!!!!!!!!"
"Allen Tyler","2022-08-02T14:34:49Z","Quick! Everyone grow a tree !"
"Twelve Stitches","2022-08-02T14:25:47Z","All they have to do is send about 100 rockets full of CO2 about 1 million miles towards the sun and have them disperse the CO2 into a thin cloud to reflect a tiny amount of heat back to the sun.  That would cool our planet a degree or two."
"CALI-BUD-GROWER","2022-08-02T11:20:14Z","Dude I couldn’t hear the video over that guys side burns lol."
"woocheong An","2022-08-02T09:08:37Z","Greenhouse gas emissions, sea level rise, ecological environment damage, this series of chain effects will eventually lead to the destruction of natural disasters where people live. I hope everyone can love nature and protect the environment"
"Paul Walker","2022-08-02T08:18:54Z","I'm not American, I'm white from Western Europe, but the privilege of being white doesn't work anymore. The level of formal education of whites, who are called the mainstream, or the level of education in public schools across the United States is so poor that the level of illiteracy is high. He is said to be ignorant to the extent that he lacks the basic culture or knowledge necessary for daily life, and except for 3% of the American class, it is said that he even hears jokes about whether the rest are necessary in the United States.
 It is said that the majority of key personnel supporting the United States are from overseas outside the United States. In most cases, not only the deaths confirmed during the coronavirus pandemic, but also most of the current confirmed cases are ignorant of basic public health systems and personal hygiene concepts, and the problem in the United States is that most Americans are basic concepts about the environment. It is cumbersome or cumbersome to throw away garbage without knowing the word and concept of recycling, or to sort food waste, various plastics, vinyl, paper, aluminum, and iron in detail. There are many international controversies, such as smuggling waste generated in the United States abroad.
In addition, there are many problems with methane gas emitted from daily life due to random garbage. The bigger problem is that Americans use automobiles on a daily basis, but change engine oil, brake oil, and transmission oil when the appropriate mileage is reached. It is essential to do this, let alone exchanges, and because driving indiscriminately, irrespective of how many kilometers has been driven, shortens the lifespan of a vehicle and emits a large amount of environmental pollutants. Given the stigma of being the country with the most emissions, it is very questionable whether it has the basic requirements and dignity of being an advanced country, and it is also questionable whether China has the right to criticize various reasons and causes. However, it is said that Japan is the only country among a few European and Asian countries that makes it a habit to change oil according to the mileage of automobiles such as recycling and recycling as well as the environment."
"Prtz","2022-08-02T06:19:49Z","Only way to reverse climate change is to reduce the population. A smaller population emits less harmful gasses.   Going carbon neutral is too expensive."
"Sorry Not sorry","2022-08-02T04:45:42Z","Watch cowspiracy it has a part in there talking about how bad the cows are in many many ways run off gass and it takes an insane amount of water to make basically one hamburger in the end"
"R Good","2022-08-02T03:52:37Z","Don't talk about start charging these industrialist, putting them in jail while they're paying people off to keep global warming going. These people getting paid off don't realize they are on the same planet as everyone else."
"Thea Messenger","2022-08-02T03:42:11Z","The human element has a very small part if any of the global warming issue. Yes, there is pollution of many types. But that cannot change the weather to the extent that we have all experienced. The real reason for the global weather changes have been hidden from us.  But is also in plain view. All you have to do is look up. Have you ever asked why they changed the dates of daylight savings time?   Have you ever noticed the rising and the setting of the sun being further north in the sky? Why has the star locations changed from their previous locations of nearly twenty years ago?  Why are our skies paler blue than before? The answers are there. Don't let them deceive you, research it for yourself. Think outside of the box of their deception for the truth."
"ChocapicSz","2022-08-01T23:34:54Z","0:42 worst beard style i've ever seen"
"Pappy","2022-08-01T20:44:25Z","Science 100 years ago, humans evolved from a monkey and is so insignificant we have no lasting on the grand scheme of things. 

Science 100 years late humans pollution is so devastating we are destroying the earth. 🤣"
"Yessenia Rodriguez","2022-08-01T16:31:54Z","I have been watching these types of videos for a couple hours now, and it feels like we are at a tipping point. I feel very off about this summers weather. England got hot af, Las Vegas flooded, Kentucky flooded, NY got a lot of rain, and Australia has had 3 floods as well. We need to do something, but more importantly, big corporations need a reality check."
"Andrew Brown","2022-08-01T12:38:11Z","Until china, USA and india change their attitude then we’ll have no chance"
"Brand Team Company","2022-08-01T10:52:40Z","That's his pointing finger, not exactly, 3 years ago they were spam about 1,5 degrees of warming, NASA still probably don't understand what is happening here , só yeah"
"Choki Chocat","2022-08-01T03:34:14Z","I love this.  Keep it going.  HOT PLANET HERE WE GO"
"Dongwook David Lee","2022-08-01T03:14:49Z","People learn from experience not from eggheads. That is the problem."
"Cathy Yue","2022-08-01T02:49:21Z","ok off topic but why is that guys sideburns growing on the side of his cheeks? i think thats a question worth asking"
"Christine Villabona-Kuntz","2022-08-01T01:40:07Z","We must dismantle from oil and gas ⛽️ and animal agriculture industry which contributes to global warming. Plus we need to stop 🛑 building bombs 💣 and going to war"
"Christine Villabona-Kuntz","2022-08-01T01:36:54Z","Please please call ☎️ your government representatives daily demanding 😰 they dismantle the main causes of global warming. It’s an emergency 🚨 and we need all your support and compassionate voices!"
"Dawn Coy","2022-07-31T21:54:59Z","I DON'T BELIEVE THIS"
"JaK Klump","2022-07-31T21:31:37Z","The problem is far too many humans. It’s interesting how no one considers reproductive responsibility as one of the mitigating principles. We are just beginning to experience the greatest catastrophe that will ever occur on earth and misery for everyone who will be not living, but just surviving from this point onward. Remember my statement if you think I am wrong, and reconsider it 20 years from now."
"Walter Todd","2022-07-31T19:22:06Z","Fantasy!  True Hollywood.  Explain to me please why drastic measure are again needed?  I thought this video was enough."
"Thea Messenger","2022-08-10T00:44:11Z","Well said and on the right path. There are many ways to have clean energy but they do not serve the political agenda. And does not line the pockets of the chosen few with untold wealth."
"Thea Messenger","2022-08-10T00:37:39Z","""Brovo"",  You are correct and on the right path. You have the insight to the truth."
"R H","2022-08-08T14:56:51Z","@David Rees the Earth is being pushed away by the energy produced by the sun in its Corona, heat around it. While also being pulled by the suns magnetic field. Balanced between the 2. Depending on the size and gravity and material make up of each planetary body."
"David Rees","2022-08-08T08:35:06Z","What you smoking bud?"
"Steven Hull","2023-02-05T10:11:06Z","YES. By an ICE AGE"
"Matthew McHugh","2023-02-04T18:03:02Z","@Callum Redfearn well now I'm convinced. Didn't even take a YouTube short to convince me either. Boy you're clever!"
"74KU","2023-02-02T20:37:09Z","What's the big deal? We all just need to get used to ""new normal"""
"Jason King","2023-02-02T02:35:59Z","@June Dewar The poor always suffer the most, anywhere...."
"Jason King","2023-02-02T02:35:24Z","@psycotria Yea. All the data has been re-arranged to fit the current agenda..."
"Terence Field","2023-02-01T15:50:41Z","Nonsense. This is not a moral matter, despite the unending moralising hype. Vast overpopulation destroys wildlife just as effectively as industrial society. Cot the emoto-nonsense. It is a physical matter. Nothing more."
"Steven Hull","2023-02-05T09:44:02Z","I'm singing in the rain - Julia Andrews"
"neILiX1","2022-08-06T16:01:27Z","@Loturzel Restaurant thanks, I’ll try🙃"
"Loturzel Restaurant","2022-08-06T15:06:01Z","Dont be scared. 

Hopeful but not Hopium and also not Gloomy: 

'Our Changing Climate' and Ankur Shah. 
Hbomberguy, UpisNotJump, Second Thought, Some More News."
"Kapten Hiu","2022-08-06T01:56:07Z","Your phone's manufacturing process, Youtube's  data servers, your electricity, and I'm sure your vehicles are all slowly warming the planet. Will you give it up ? 
You live more lavishly than the King of England in 13th century. You can always use bicycle or walking everywhere, you don't need electricity to survive, neither your phone and that pricy data subscription, nor Youtube and internet altogether. Will you give that up ?"
"ATOMICX","2022-08-08T04:49:04Z","@Loturzel Restaurant not folowing. what are you trying to say?"
"Loturzel Restaurant","2022-08-06T15:06:14Z","Hopeful but not Hopium and also not Gloomy: 
Our Changing Climate and Ankur Shah. 
Hbomberguy, UpisNotJump, Second Thought, Some More News."
"qwerasdfjkl1990","2022-08-09T22:38:36Z","@Thea Messenger  🙄"
"Thea Messenger","2022-08-06T02:51:34Z","Yes we can. It is being done every day. Look up and you can see the evidence in the cloud formations and the pulse patterns in them. They are called chemtrails and are released in the higher upper altitudes by government aircraft. This is happening all over the world."
"Bass Tendencies","2022-08-04T09:51:10Z","You can tell this is what nikola tesla knew and they suppressed his predictions. To make profit off of energy. But nikola tesla wanted a world with free energy. None of this would be ever happened"
"Thea Messenger","2022-08-06T02:52:26Z","You are correct."
"Thea Messenger","2022-08-06T04:01:53Z","Who decides what part of the population should be reduced? Should our world governments decide who can have children and how many? Ask the people of China how that worked out for them."
"Roar Ellefsen","2022-11-24T01:20:11Z","I certainly will get cooler, don't consern yourself, humans as i micoscopic piece of the puzzel, have no impact on this!"
"Cyber","2022-08-02T15:58:32Z","Uganda, Oman, Thailand, West Virginia, and China all got flash floods today"
"Larry Harvey","2022-08-01T23:11:19Z","Think about it this way it took the USA until 1996 to ban leaded gasoline. It's looking like Republicans will easily win this fall and Trump returning in 2024, Personally six degrees warming is probably more realistic."
"Thea Messenger","2022-08-06T02:59:15Z","The humans inhabit less than 10% of the earth's surface.  And who will decide who can have children or not. Look at China to see how that works."
"bob orilee","2022-07-31T12:52:53Z","Wow. so does it come in any other color.?"
"MEDICI","2022-07-31T12:44:03Z","LIES!"
"Unrecognised Hero","2022-07-31T09:03:07Z","How can the briefing editor make comments on everything?  He can’t talk on everything like the issues dealt with science, medical science, migration etc."
"Shane Mitchell","2022-07-31T02:43:55Z","As a human race we need to significantly reduce the world's population to reduce carbon emissions. The unfortunate truth is that carbon free energy will not come soon enough to mitigate climate change. Climate change may reduce the world's population through starvation or other means without our choice."
"jason loxley","2022-07-30T22:05:50Z","STOP SCARING PEOPLE , WERE HITTING AN ICE ACE YOU FOOLS FFS"
"Andre Stephenson","2022-07-30T20:24:07Z","What a propaganda video looks like"
"hhgttg","2022-07-30T18:15:08Z","Using the NOAA dynamic graphing webpage and plotting from 2015 to 2022, the Earth's average temperature is currently dropping 9C per century.  No need to worry about a 3C increase, that isn't going to happen.  By 2040 we are heading into a Maunder Minimum style reduction in the Sun's irradiance."
"Fred Nugent","2022-07-30T17:49:55Z","Unfortunately change is never happening. Human greed and selfishness will not allow change. Everyone better get used to it and adapt because it's only going to get worse"
"Miami'sDubbleOOChico","2022-07-30T17:17:23Z","Global warming is racket for politicians to get money from government funded programs. 5 mass extinctions in history right.. We definitely need a 6th❗"
"Aziz Rahman","2022-07-30T16:49:47Z","3 degrees is for the wealthy rich"
"Bilal Arain","2022-07-30T16:42:45Z","i cant see much of a solution but to nuke over populated cities and bring down the population back to 1 billion peoples only."
"Bilal Arain","2022-07-30T16:40:04Z","yes we are really heading toward a big apocalypse.  the fictionals movies are not fictional these days"
"Only Science","2022-07-30T16:19:51Z","Governments are run by crooks,we are doomed"
"Carlene Primus","2022-07-30T14:21:29Z","Climate legislation is a  great start but more advocacy and action needs to be enforced."
"True Vision","2022-07-30T13:32:01Z","Someone sent me this very serious interesting video (regarding Mental Health & The Creator). Alternatively, you can acquire it in Doc/PDF format, or read it online in the description box via directory link. 
		
Find it on * True Vision * and their YouTube channel, or insert the following title in to your YouTube Search Box: * G only is responsible for everything *."
"Paul Tan","2022-07-30T12:01:00Z","Utter non-sense and fear mongering  from Economist.  The world is entering a mini-ice age."
"EarthMen TV","2022-07-30T12:00:06Z","It is the time to find solution like making lightshields in the sky to reflect partly sunhine to outer space to protec our life on earth."
"Kurt N","2022-07-30T11:35:43Z","Hoax Lies BS."
"Kadeda H","2022-07-30T10:35:48Z","Dont worry about it. Just follow Trump who says climate change is a hoax. Lol."
"guitarmad","2022-07-30T07:41:08Z","its all those atom bomb tests by russia and america in th 1950.s and 1960.s thats punched  a hole in the atmosphere mmmmmmmmmm"
"Arth C. Castillo","2022-07-30T06:50:33Z","Is Oliver Morton's face hair fault the earth is warming"
"IAM MTL","2022-07-30T04:29:50Z","Really?"
"kevin dickson","2022-07-30T04:08:05Z","all you have to do is follow the money.  hey, i say what i feel like i wanna say."
"Some One","2022-07-30T02:28:50Z","With the current war and energy crisis across Europe it looks like global warming will accelerate even faster!! Germany is re-opening their coal plants to prepare for the upcoming winter with Russian gas embargo!"
"Jim Mason","2022-07-30T02:23:02Z","Population  of the world in 1900 less than 2 billion....in 1950....2.5 billion....2202....7.7 billion...3 degrees is a ""BS NUMBER ""......CHINA AND INDIA ALONE ....will doom us all with their coal fired plants....well before 2050.....and fresh water for alot of 3rd world countries will run out before 2035....Anyone see that old movie from the 1970's Solent Green....that's where we are headed...."
"psycotria","2022-07-29T22:16:45Z","Every summer, the Powers tell us about GW, but cold winter weather is silenced. Money won't keep the Sun's output up or change the Earth's orbital CYCLES. Go read a NYtimes paper from the late 1800s; warming was all the rage then. too. The Little Ice Age ended around 1800. It makes sense that some warming has occurred since. Government-funded ""science"" only gets funded when it supports the political ""Soup of the Day""."
"BoracayADMIRER","2022-07-29T20:22:48Z","Mankind will not survive the next 500 years."
"Richard Davis","2022-07-29T18:28:20Z","Okay just asking. Is the current idea that if we stop all C02 production, the climate will freeze where it is and there will no longer be catastrophic events & floods? Because that's the dumbest theory I have ever heard. We have always had climate change for thousands of years before the Industrial Revolution."
"Nature is Nature","2022-07-29T17:21:35Z","Everyone is busy yo earn money . No one think about it"
"Seti Michael Maxwell","2022-07-29T14:54:18Z","I used to care. But its hard to care when people on purpose make their 6 ton truck make extra exhaust. So now I don't care. In fact I wish it would accelerate. I wish I had a time machine to see the next 100 years to see just how horrible it gets. Humans deserve all of it and more. I hope it looks like Venus."
"M","2022-07-29T11:37:18Z","LOL"
"Michael Espeland","2022-07-29T10:45:26Z","What I dont understand about these undeveloped countries where people live in extreme poverty, is that they have the highest amount of kids. They can barely feed themselves, no clean water, illnesses, extreme heat, etc, yet they pump out 4-5, maybe even 6 kids, each passing generation. We know overpopulation is a problem, and it's basically fuel to the global rise in temperatures, yet these people, who will get hit the hardest by a disaster, have more kids than anyone else. Can someone explain this logic to me? If you can even call it logic..."
"tinker bella","2022-07-29T09:51:33Z","And we have all the big already developed cities to thank for it  who have burnt and are burning through huge amount of fossil fuel,industrial growth,deforestation and massive changes to land and river layout. And bow they shift towards clean energy but who actually pays for the damage they caused where are they to take the blame responsibility for their actions in past and in present."
"Danny M","2022-07-29T08:20:02Z","John Kerry in 2015: “The fact is that even if every American citizen biked to work, carpooled to school, used only solar panels to power their homes, if we each planted a dozen trees, if we somehow eliminated all of our domestic greenhouse gas emissions, guess what – that still wouldn’t be enough to offset the carbon pollution coming from the rest of the world.

If all the industrial nations went down to zero emissions –- remember what I just said, all the industrial emissions went down to zero emissions -– it wouldn’t be enough, not when more than 65% of the world’s carbon pollution comes from the developing world.”"
"Daniel Morse","2022-07-29T06:43:28Z","It's not just humans. There is a bigger truth."
"Richard Villarreal","2022-07-29T04:41:31Z","This is bad,because when survival comes,anyone will do anything to survive, and help their own,survive!!! No one will be safe!! Cannibalism will start,to happen!! That is truth"
"Jama Abdulle","2022-07-29T04:38:28Z","The money system and greed"
"Yurida Pted","2022-07-29T00:24:00Z","this is essentially guaranteed"
"TheLorgirl","2022-07-28T21:39:17Z","There are too many people."
"Ilkka Friman","2022-07-28T20:48:57Z","BS"
"hassan tariq","2022-07-28T20:46:35Z","I will still enter that plane. One is twenty is just 5%.. 😆 🤣"
"Gianni Capra","2022-07-28T20:11:45Z","Too late"
"Martin Pinder","2022-07-28T19:58:52Z","3 degrees centigrade? This is just scaremongering. The world may not even experience that increase. It depends on how much CO2 is emitted. The IPCC has various scenarios for different temperature increases depending on the amount of CO2 emitted, the worst being the notorious 'RCP 8.5' which alarmists frequently use. The IPCC now admits that RCP 8.5 is now very unlikely to happen. CO2 levels may never rise sufficiently to get an increase of 3 degrees. Remember that the rise in temperature is a constant (equilibrium climate sensitivity, ECS) for a doubling of CO2 & if we assume this constant is say 2 degrees per doubling, with CO2  now at 420 parts per million it would have to rise to 840 parts per million to raise the temperature of the planet by just 2 degrees, (not three!). Scientists don't even agree on what the actual value of the ECS is & different models use different values & furthermore each value is the mean of a spread of values! All very imprecise as climate science is. This video is crystal ball gazing of the worst kind & is displayed to generate fear & as such is pure evil. It's not science. It's pure propaganda. It's all the worse because, judging by some of the  the imbecilic comments on here, these commentators are extremely vulnerable & the Economist is taking unfair advantage of that fact to persuade. Better go to Mystic Meg!"
"JJ","2022-07-28T18:01:42Z","World leaders simply don't care.  They are either wealthy enough to know the will be just fine in their bunker or old enough to know that they will not be around when the worst happens.  They refuse to have any part of their lives diminished and will do nothing until it is too late."
"David Henslin","2022-07-28T17:50:07Z","Nothing new under the sun, climate has been changing for thousands of years."
"Jayden","2022-07-28T17:18:32Z","Nothing lasts forever"
"B S","2022-07-28T17:12:35Z","There are too many humans on the planet.
If we don't solve the problem, nature will do it for us."
"Robert violette","2022-07-28T16:33:34Z","Completely not true"
"TopperPenquin","2022-07-28T13:28:53Z","WE MUST MUST VERY QUICKLY DO SOMETHING TO BLOCK OUT THE SUN LIKE A HUGE EARTH UMBRELLA.🌂 🌎"
"Brian Jacob","2022-07-28T13:16:09Z","stop with the propaganda.  You guys are FOS."
"Lost In The Seventies","2022-07-28T13:02:24Z","Its a combination of the Industrial Evolution-Sun,Star,Universal Natural Changes"
"T.C.26","2022-07-28T12:13:56Z","It will be like the dinosaur age"
"Koopa550","2022-07-28T12:09:16Z","Just as we know from Dont Look Up... it will happen. The wealthy won't have such a big problem, the unwealthy will even more tho."
"Maa Cya","2022-07-28T09:53:07Z","I don't like the music in the beginning of your video (even though I understand you intentionally chose it to cause the emotional response from viewers)."
"angga","2022-07-28T09:28:10Z","heat wave happen now in europe, it getting worse"
"Able Bodied","2022-07-28T03:18:04Z","Industry had all the money for research to prevent their business from contributing to all this ""climate change.""
Why should I pay to clean up THEIR mess.
I didn't profit off polluting the world.
The ""Top 500"" did that. 
THEY can clean it up.
But it still won't cool the sun or the Earth's core, now will it?"
"xXTheBennyXx","2022-07-28T00:55:55Z","Oh our solution hangs on the line that humanity will band together and do something? Great.."
"WreXNefecT","2022-07-27T23:01:23Z","lets not forget the losses of phyto-plankton"
"quartytypo","2022-07-27T22:56:22Z","Oil, coal, natural gas are racist."
"Robin Scott Marsh","2022-07-27T21:26:37Z","Too many humans."
"richard sheldon","2022-07-27T15:49:10Z","so full of chit"
"Time To Change","2022-07-27T08:57:31Z","If our Goverments keep on failing our Nations families by not taking serious our Nations and World battle against Global Warming and start to promote an educated fight against co2 and other planet killer toxics. Whoever is in Goverment will have blood on their hands by not taking up this Earth changing situation. Act now and promote new Science, New wind, Tidal power and carbon retraction Tec. Your failing my family and millions of other families by your none actions. Act now do more now. 

People please wake up and act to stop this none actions of Governments.

Our fight is with the  survival of man kind and shouldn't be with our Goverments, that doesn't do nothing to help our children children's futures. 

Rethink your environmental plans, no more old style big company lead money to fill your pockets. Think not of I but of us, us have the power you should be aware of your place and stop feeding your greed.

 The push back is happening and the World is waking up and the zero carbon target is a must. 

If Goverment holds on the old guard of polluting energies, we've got to ask why this killing energy is allowing to keep Impacting our World.

 Science tells us oil, Gas, diesel, electricity and coal are killers. So why keep on using these killers.

Science has new power from natural energy, so why are Government officials being paid to promote the old killer energies.

 Millions of our voices are aimed at changing to natural energy, we are not being listened to.

Goverments back handed approach is again is an old style way of thinking. 

I Say YES to new Tec, New Science and carbon retraction and No to Nukeilar and oil.

We know what these vile products have done to our World, so why are they using them........ oh I know the old guard needs a pay out.........!

By knowing the warm these products are doing to us and out World, all Governments  using these killing products are going against our humanity and human rights. This is madness and shouldn't be allowed. Just think about this point they are knowingly harming it's Citizens wow is that right?"
"saintsone","2022-07-27T08:54:54Z","Yes, a small difference in temperature can have a huge impact but what these people do not tell you is that the Earth today is cooler than it was only 2000 years ago and yet these scaremongerers refuse to acknowledge that. 
Do they tell you the average temperature of Earth 65 or so million years ago? NO! And the reason is very simple. That is the period of the dinosaurs. Dinosaur fossils have been found at the North Pole. Palm tree fossils have been found at the North Pole.
Big deal you say.  Well, it is a big deal as proves temps today are cold compared to 65 million years ago yet plant life and animal life survived in that environment. Yet these bozos try to tell you and me that it will be a catastrophe for mankind if temp rises 3C by end of the century.  
Cast your minds back to the 1980's and what were they predicting? Up to 7C by 2050, In the year 2000 they were predicting 3-5C by 2075 and now the experts are saying if the rise in temps is 3c by 2100 - ""CATASTROPHE"".
Did anyone notice the predictions for temp rise is decreasing and the period it will be achieved is increasing. And NO it is not because we are reducing emissions due to renewables etc as we are actually ""INCREASING"" emissions each and every year.
How is it that the projected temp increase is falling yet the year it is predicted to occur in is increasing if the levels of carbon emitted is increasing faster than at any other time since records have been kept?
NOTHING they say adds up. ALL is guesswork. And the size of the impending CATASTROPHE increases each decade yet the date of that catastrophe gets further and further away from being reached.
If they knew what they were talking about we should be at catastrophic levels in 2050 yet here he admits 2100 is the year to be concerned about. In 40 years the goalposts have been moved forward 50 years yet the level of carbon emitted today is almost double what was emitted 40 years ago.
I am no scientist, have no degree but can confidently call this scaremongering total BS.
NOTHING they have told us over 40 years stacks up. Today they contradict was what predicted only 20 years ago totally."
"MTL","2022-07-27T02:37:56Z","TOTAL  BUOLL SHSITS!!"
"Lexi Cat","2022-07-27T02:27:45Z","future generations will have to rebuild, I hope they remember.  Civilizations fall."
"M","2022-07-27T01:19:04Z","Get Rid Of CARS....Public Transit..!!"
"My Two Thoughts","2022-07-27T01:01:41Z","This is laughable. We already have 3 C  temperature swings. They are not fossil fuels. No one has control over the sun 🌞 and cold. No such thing as global warming. Models aka garbage in garbage out. No such thing as net zero."
"Martin Vasquez","2022-07-27T00:54:13Z","The lies in convincing the doubters and deniers to the reality, as well as getting the collective world population to ""fork over"" the money needed to fight the change."
"Quincy Spielberger","2022-07-26T22:47:47Z","This globe is 4.3 BILLION years old. For anyone to think mankind has any significant impact is extreme arrogance. Mankind is a blip and Earth will be here millions of years after we are long gone. There have been thousands of cooling and warming cycles and there will be thousands more after man has vanished from the scenario."
"Shelly Milligan","2022-07-26T20:27:30Z","We are already past the tipping point!
Why do you think the super rich are working on colonizing Mars?"
"Kolendamp","2022-07-26T19:57:13Z","3 Degrees more and I´ll take a beer, sorry, but the only solution to survive"
"Salvador Gonzalez","2022-07-26T19:54:35Z","These documentaries are great but they always focus on 3rd world countries and although that's great if you really, really want to draw attention to this you need to focus on what it will do to people's pocketbooks in developed nations; specifically the United States. Until you do that nothing will happen to curb global warming."
"ISI GLZ","2022-07-26T19:35:27Z","2:30 people complaining about having to move her home, when they can literally just pick up their hut 🛖 and move anywhere they want 🤦‍♂️"
"MiSs_anOnymOuSs_617","2022-07-26T18:23:23Z","Something needs to change…. Joe Manchin and the Supreme Court. Limiting the EPA with that ruling handed us a death sentence."
"cory ce","2022-07-26T16:34:43Z","The time to act was over 30 years ago. They have known about this for 100 years"
"jmlandry77","2022-07-26T16:33:18Z","A fraud designed to impoverish the US and EU."
"Pi 3 times 14 is 42","2022-07-26T16:21:46Z","So what about= 
Global deforestation, solar radiation management, geo-engineering, solar flares, cattle farming, black tarmac road surfaces, volcanic eruptions, these are all factors that contribute to climate change."
"laeitdown","2022-07-26T15:15:24Z","Why does no one blame govenments? That concerns me the most that there is a mass cover up, why else would NO ONE question the governments on what experiments they have been doing for 60 years. THERE IS A UN TREATY THAT BANS WEATHER MANIPULATION TO FIGHT A WAR!"
"GEO GEO","2022-07-26T13:44:36Z","With 3 degrees more temperature, all the thermic balance has gone. Although the total temperature will be 3 degrees more, one place might reach 60 Celsius and another -20. But the average will be +3.
Some places will have much more water or snow but another  will be dry."
"Derick : X","2022-07-26T13:02:38Z","Humanity is  a virus ,"
"rjcfraser – Business English Colloquium","2022-07-26T11:29:26Z","Global climate change is manufactured, but covertly to push the Green Agenda"
"Tim Hanser","2022-07-26T11:22:19Z","Why are we not moving to plant based eating now instead of running plants through an animal ? I guess we won’t do it till it’s too late . The pressure of big business. We just went above 40 degrees in London for the first time ."
"Tim Hanser","2022-07-26T11:22:15Z","Why are we not moving to plant based eating now instead of running plants through an animal ? I guess we won’t do it till it’s too late . The pressure of big business. We just went above 40 degrees in London for the first time ."
"comcfi","2022-07-26T11:16:29Z","Maybe John Kerry and joe Biden will attempt to reduce their carbon footprints"
"JOE","2022-07-26T09:53:50Z","Fossil fuel emissions do not affect mother natures actions. Yet the governments are doing cloud seedings to make rivers and lakes flood over to push their narrative for more control. People, just use common sense."
"Russell Austin","2022-07-26T08:57:54Z","Lies, Lies, Lies"
"Sherife Wright","2022-07-26T06:35:23Z","Why are they showing African children 😆 🤣 😂 like black people are dieing from the sun"
"R R","2022-07-26T06:10:27Z","The elephant in the room that you havent mentioned is geo engineering technology. Mainly EMF and chemical drops."
"Viasa Inc","2022-07-26T06:06:45Z","You discover wat wee ol rady now, you guis told news wat the pepe ol rady live and you are big liers"
"Viasa Inc","2022-07-26T06:02:32Z","Tat is oll lie"
"Viasa Inc","2022-07-26T06:00:48Z","The diference is to drill ? You drell oll thet time too finde somting and distroie auer planet and you could you siencetifics ?"
"Another Shellcialist Turtle","2022-07-26T05:12:06Z","I’m only 18 and all I’ve ever known is bigger and bigger natural disasters. There is a say you will reap what you sow and there’s no other way to put it we are feeling the weight of our success."
"Music4Relaxation&Meditation","2022-07-26T03:14:07Z","Our education system has failed us to teach how to live within the delicate balance of our environment and its more than high time we need to change it ! degrees , IITs , and medical colleges are just making the matter worse by adding more burden on this planet ! we need more environmental scientists to save our planet !"
"zemekiel","2022-07-26T02:42:13Z","Oh noes. I just remembered, I need to go fill up my car with petrol."
"Leo Martin","2022-07-26T01:45:23Z","3 degrees has already happened. Because CARBON gases that shoots skyward into the atmosphere is BEING PERPETUATED AS I WRITE THIS at night. Perhaps some METHANE may be mixed with the carbon as well. And the only way that the WORLD will COOL OFF is the "" THE COMPLETE ELIMINATION"" OF the USE of fossil fuels. WORLD WIDE. THE VERY RICHEST COUNTRIES throughout the world are the very same ones that are contributing to the WARMING UP of this planet."
"paul joey","2022-07-26T01:16:32Z","Lies"
"Leo Martin","2022-07-26T01:03:08Z","The very thing that POWERS the world is killing us. Just like DR STEVEN GRIER  said...there are classified low to NO COST energy solutions that doesn't require fossil fuels. BUT THE MODERN WORLD refuses to STOP using fossil fuels because it would BE BEYOND DISRUPTIVE , to prohibit the use of fossil fuels world wide."
