"comment_author","comment_date","comment_text"
"Mike Stuck","2022-11-16T15:22:21Z","Made up by the demonrats"
"MIGRATORY ANIMAL","2022-11-16T04:15:13Z","FYI - China is already changing it's direction to the use of Hydrogen vs Electric realizing that Electric is not sustainable or that clean of an energy source as it requires more fossil fuels to create the batteries than gasoline powered vehicles."
"Gracey","2022-11-16T00:11:18Z","God knows what He is doing. After all it IS His world. What can man do?"
"Christopher Ruthart","2022-11-15T23:52:30Z","This is shocking."
"Steve B","2022-11-15T23:49:00Z","They trying to tear up Nevada’s desert over the Lithium lie."
"BUSTER STUTTS","2022-11-15T23:12:01Z","The truth is politicians can use it to there advantage and stuff there pockets with cash"
"DevineKingsBeloved","2022-11-15T22:23:33Z","God’s written promise for the true green new deal!
2 Peter 3:13;
But in keeping with God’s promise, we are looking forward to a new heaven and a new earth, where righteousness dwells."
"Tonda Marsee","2022-11-15T22:19:46Z","These thieves lean into the BOGUS BULLSHIT, CLIMATE CHANGE, MY ASS....THESE DAMN IDIOTS REALLY NEED TO BE SNATCHED OUT OF OUR GOVT"
"jamie peterson","2022-11-15T22:12:31Z","It's a cult that will kill more people than save"
"Bob Schallalcs","2022-11-15T21:54:51Z","if the sea's are going to raise why did Obama buy a house on the beach on Martha Vineyard??????"
"darrell richards","2022-11-15T21:39:57Z","Talk to Russia and china about it .and mexico."
"Champagne _papi45","2022-11-15T21:36:44Z","And what happens when the rain comes and it washes everything away what happens then when the rain cleans the air and brings everything to the ground what happens this is only to steal money from our government that's all it is"
"Champagne _papi45","2022-11-15T21:34:00Z","You guys don't think sending all these satellites up in space ain't doing nothing to our atmosphere why do you think the whales and some of the fish laying on the beaches that's because of the satellites but nobody will say anything just remember in the 50s and 60s before all these satellites went up how nice our weather was we weren't thinking about this well let's think about this how many satellites are up in space now since the 1950s so we went on the moon in 69 and after that what happened all these satellites incorporations went up into space to make money and I'll look at our atmosphere they should be paying for this not the American taxpayers people that are putting satellites up in space should be paying a high tax so let the scientist get smarter and try to figure it out but there it is stick your satellites where the sun don't shine think about the way the world was before you brought him into space how nice our weather was I was a little boy in the early 60s on Halloween throwing eggs that sell warm it was and it's daylight that for a long time until all he satellites went up in the space"
"Champagne _papi45","2022-11-15T21:32:05Z","Send this guy to another planet it's another one that don't know what he's talking about"
"Champagne _papi45","2022-11-15T21:30:57Z","Climate change is a big bunch of bull to get taxpayers money and give it to all over the world you are not going to stop the Sun from getting closer to the Earth this is happening slowly but surely through the years and they know it so if the world is getting warmer it's because the sun is getting closer and another 30,000 years there won't be no Earth and they notice that's why they're trying to get life on another planet for the rich man it's the only ones that are going to survive are going to be able to tie a rocket around their ass and leave this planet when he gets too hot so if you want to keep stealing the taxpayers money and say it's from fossil fuels go right ahead because America ain't America no more it's a shame everybody owns us but us"
"Truth seeker","2022-11-15T21:12:43Z","Dysentery is cheaper to solve he says but not on top of the list.  Holy shit politicians and elites are evil. I mean,  tell us you want the poor to die without telling us you want the poor to die.  Wake up people."
"Roy81hop","2022-11-15T20:46:36Z","But William  Moomaw build his hous right nxt to somthing that looks like wather to me?"
"Cash Wade","2022-11-15T20:14:38Z","Obama is so worried about rising water that he has a home right on the water on Martha’s Vineyard 👍👍"
"Matthew Zimny","2022-11-15T20:04:26Z","satelites are micro waves of communication, 25 thousand microwaves are heating the earth, and scientists all know and concur this is it"
"Death24","2022-11-15T19:31:40Z","Getting taxpayer money to fund your stupid shit and then complaining that it's cheap to solve some other problem instantly discredits that guy."
"rich Head","2022-11-15T19:23:51Z","Climate change is racist"
"Michael Bayliff","2022-11-15T17:56:00Z","Climate change is just a money grab"
"Anthony Behrends","2022-11-15T16:55:37Z","What we can learn from all of this is that science is anything but trustworthy!"
"Salty","2022-11-15T16:47:09Z","Three years later and the climate alarmists are getting stronger"
"Lester Williams","2022-11-15T16:40:05Z","It really seems like it's a political money grab none of the ones screaming about climate change have changed the way they do anything they still fly around the world and buy their yachts and drive their cars they just want money science is a joke always was they risk our lives and don't care as long as they get that money"
"donald allen","2022-11-15T15:31:26Z","Ask Joe Biden we do have endless money it's called a printing machine"
"chinese redneck","2022-11-15T15:05:56Z","If ""climate"" by definition is long term weather 20-30 years.  And climate change science is ""settled"", there should be 5 studies or simulations 10 years old or older, that have been proven to be accurate.  They be should easily corroborated.  And the models and simulations should be able to be regressive as well.  I am NOT a climate change denier as I believe it probably IS happening.  The issue is with the cause, correlation and the belief the science is ""settled""."
"Buddy Harrelson","2022-11-15T14:19:15Z","Did the dinosaurs create the ice age?"
"james mooney","2022-11-15T12:47:32Z","Climate is always changing.   Man can stop the Climate from changing.  Their reports that the earth is going into an Ice Age. 
Shouldn't we be pumping carbon into the atmosphere?"
"bruno bond","2022-11-15T12:08:55Z","Stossel is so FOS.  

All of these scientists are saying ""if""     It is called a range of possibility.  At what odds do we commit to kill humanity??

If the climate change deniers are wrong and we do nothing, we DIE.
If the climate change ""alarmists"" are wrong and we do something, we LIVE."
"Darby Allen 998","2022-11-15T11:54:24Z","Curry says that she's changed her mind, but then says that CO2 warms the planet, even though we know that CO2 increases follow temperature rises. Hedging her bets?"
"DONALD J grav3yardguyy3","2022-11-15T09:04:43Z","SCIENCE IS BULLCRAP GOD IS IN CHARGE OF THE EARTH 🌎 AND HE PROMISED THAT HE WOULD NEVER FLOOD THE 🌎 EVER AGAIN"
"Steve Wilson","2022-11-20T00:52:30Z","Because its not true..."
"Steve Wilson","2022-11-20T00:54:20Z","@Dragon's Hoard Design  So if that were true then why cant you disprove the simple science of GW using science ? Oh wait thats your whole problem isnt it ?"
"Dragon's Hoard Design ","2022-11-19T22:25:13Z","@Steve Wilson it's actually not a thing the whole global warming climate change thing is about money not solutions just lining people's pockets"
"Steve Wilson","2022-11-19T22:06:57Z","Honestly that sounds nice and well intentioned... unfortunately GW is far more serious than that"
"Steve Wilson","2022-11-19T22:07:30Z","Exactly"
"Steve Wilson","2022-11-19T22:09:40Z","You are clueless and to think your low IQ politics can actually change the LAWS of science is laughable"
"Jacek Marczyk","2022-11-20T09:00:13Z","@Steve Wilson What is ""HS""?"
"Steve Wilson","2022-11-19T22:11:11Z","Says the HS dropout who never passed a science class...."
"Steve Wilson","2022-11-19T22:17:05Z","Anyone low IQ enough to believing in tuning forks and secret crystals is obviously too uneducated to realize that they cant live on a planet too hot for a human body to cool itself off... Its so cute that you think you know WTF you are talking about though..."
"Steve Wilson","2022-11-19T22:18:17Z","No the scam came when said you could pass HS... Thats a big scam right there..."
"Steve Wilson","2022-11-20T00:56:42Z","WTF... the problem is climate not recycling.... pay attention"
"Proemed44G","2022-11-20T05:47:22Z","@Da Big Kahuna Catfish  So your big comeback is youre going to talk about is your great spelling skills... Really ? Ya IQ of 132 LOL... So if youre as smart as U say U R then why cant U even comeback with real scientific pt ? Oh wait, U dont actually have one do U ? So R U going to blather on about your great spelling or R U just going to try and use some other lame Trump IQ trick to avoid talking about the REAL subject GW ? Why dont ya just confess U dont really know anything about GW do ya ?I'm beating you'll ghost because your trapped now..."
"Da Big Kahuna Catfish","2022-11-20T02:35:06Z","@Proemed44G Well now tell me something there Einstein, if YOU are so much smarter then the rest of us pee-on;s, why can't YOU even write a simple correspondence using the word YOU instead of the letter U? YOU did however manage to use the word YOUR properly, l will give YOU credit for that, but that's about all. And a little FYI for YOU as well, l have an IQ of a 132 so l think l have a pretty good idea of what l'm talking about, unlike you. So go on your merry way there tree huger, your getting to be a bore."
"Proemed44G","2022-11-19T23:28:52Z","@Da Big Kahuna Catfish Wow I didnt realize U had so many special needs... Of course all U can talk about is money BECAUSE U NEVER PASSED A SCIENCE CLASS IN YOUR LIFE ! So its all some big conspiracy that only U can figure out... LOL, its not like U even understand enough science so that U could at least challenge the science based on reason and intellect... No thats to far a hill for your IQ to climb... So instead its always some massive secret scam that never has any evidence or any kind of proof but exist just because U believe in it... kind of like Santa Claus...
    Finally, when U fail your HS classes and cant make up in time for HS graduation its called falling out... U dont get a diploma and they wind up being ppl like U. Ppl who cant understand simple SCIENCE or figure out how anything happens and instead turns to stories of QAnnon and secret globalist world order NONSENSE because its the only way mental midgets can handle anything in life, instead of just admitting they never learned what they should have learned when they were young..."
"Da Big Kahuna Catfish","2022-11-19T08:46:45Z","​@Proemed44G How old are you, 12? You are obviously one of the sheep who have bought into this hoax. lf you really want to learn what it's all about just FOLLOW THE MONEY! Your hero algore made millions buying and selling carbon credits along with a with a bunch of other crooks. lt's never been about global warming, it's all big business. Now let's talk about some more facts, the ICE AGE, all those glaciers melted due to one thing, NATURE! And a lil' FYI for you, People DROP out of HS, they don't fail out."
"Proemed44G","2022-11-19T07:43:23Z","100 % of ppl who failed out of HS  because science was too hard believe U..."
"Proemed44G","2022-11-19T07:45:20Z","Did U learn that in remedial school? Or is science just something U never understood ?"
"Proemed44G","2022-11-19T07:47:37Z","Only a HS drop out who cant tell the difference between science and politics would say that"
"Proemed44G","2022-11-19T07:49:28Z","That is the dumbest comeback line U deniers ever had... No the climate doesnt change by degrees over decades naturally... Your BS is obvious"
"Proemed44G","2022-11-19T07:50:25Z","Daniel is a fool who doesnt know what science is..."
"Proemed44G","2022-11-19T07:55:19Z","What ? Do U seriously believe that ppl and houses R a real reason that temp rises ? Seriously ? GW is happening to the whole planet... not just Florida... So moving ppl in or out of a state isnt going to change that"
"Proemed44G","2022-11-19T07:57:52Z","Of course U cant name 1 SCIENTIFIC reason to explain anything U say... U just think ignorance keeps U bliss... Thats not going to change any natural LAWS ding dong"
"Proemed44G","2022-11-19T08:01:45Z","Did U hear those words and just tell your self oh that founds science eee so I'll just say that instead of LEARNING any real science... Wow no wonder Trump loves the poorly educated, U ppl R so easy to fool"
"bruno bond","2022-11-18T22:44:34Z","THAT'S where I saw him!  Not a Big Dick after all."
"bruno bond","2022-11-18T22:48:32Z","Wrong.  Wrong.  Wrong.

The TRANSISTION must be funded by the government because of the PROFIT interests of the companies that provide the energy to the world NOW.

Do you really believe that Exxon or Shell or whatever is 1) changing their company to produce non-carbon-releasing energy?  or 2) optimizing their company to make the MOST fucking MONEY from Oil and Gas?

Take a Big Fat Guess MORONS.

Brainwashes to PROTECT the fucking Oil & Gas & Coal companies."
"Scented-leaf Pelargonium","2022-12-26T06:27:14Z","@Ghengiscant And indoctrination."
"Scented-leaf Pelargonium","2022-12-26T06:26:52Z","Excellent! 🤗"
"Ghengiscant","2022-11-21T09:37:04Z","The new religion has the same purpose as all the old religions . Control  ."
"Anthony Behrends","2022-11-28T15:09:39Z","@KEN HICKFORD Once more, Ken, you are completely outside the nature of the discussion, but that's typical of someone who didn't understand it from the beginning. What is indeed ""simple"" are your reasoning skills. Just give it up while you're so pathetically behind!!!"
"KEN HICKFORD","2022-11-25T19:47:36Z","@Anthony Behrends 

What on Earth are you on about??

You believe in a Religion; I do not, simple ,... Yes?"
"Anthony Behrends","2022-11-25T15:07:07Z","@KEN HICKFORD Again, you have difficulty remaining on point. Thinking yourself clever doesn't make you clever, Ken."
"KEN HICKFORD","2022-11-24T14:10:47Z","@Anthony Behrends 

And yet, here you are online availing yourself of a 'Scientific' device to communicate with the world that was not in any Religious Texts? ......Lol! ......Yeah? ....... Right!

You are funny!"
"Anthony Behrends","2022-11-24T01:17:05Z","@KEN HICKFORD Nice try! And though what you say after the ""but"" is true, it isn't on point."
"Rick Kooi","2023-02-02T23:56:00Z","Primarily because
extreme rain flooding events are increasing.
extreme heat events are increasing.
extreme storms are increasing"
"bruno bond","2022-11-15T14:11:20Z","You are OBVIOUSLY taking ALL your information and learning on the subject from this POS ""Stossel""

Man can AFFECT the climate on this planet.

What ""reports"" ""that the earth is going into an Ice Age?""  What ""reports?""

Ice Age, NOPE that is ONE possibility and not the one with the greatest statistical probability.

WHO pays the bills for this Oil & Gas Lobbyist who calls himself ""Stossel?""  WHO???  THAT is your answer."
"Guillermo Ruiz","2022-11-15T04:54:33Z","Stupid left another trillion for the sleeping Biden and kamala jaja"
"Robert Wilber","2022-11-15T00:28:55Z","Fake liberal crap. Wait until there is no ice at the poles,  like it has happened frequently throughout geological history.
BTW, temperature increased before CO2 rose."
"Mark Bonnell","2022-11-14T23:50:01Z","People are crazy, we don’t what it was like before we was born , only heard what other people told us , they weren’t here either to see it"
"Joe Biden is a complete idiot","2022-11-14T21:21:35Z","Even Obama don't believe this crap if he did why would he have a beach house just like Joe Biden so if they're right they will drown come on sea level rise"
"Keith Byrd","2022-11-14T21:19:13Z","Climate change is a Political Correctness Narrative.... Bullshit"
"Jerry Elliott","2022-11-14T20:57:34Z","If Obama is so f****** worried about rising oceans why did he buy a mansion on the f****** beach?"
"George Walker","2022-11-14T20:51:01Z","Why can't people call it what it really is global warming it's a natural cycle the earth goes through you can throw all the money out of the world and you're not going to change it the only thing the money is going to do is pad the Communist regimes bank accounts"
"Devin C.","2022-11-14T19:31:34Z","You aren’t allowed to question things anymore racist lol"
"Paul Brackett","2022-11-14T19:23:19Z","Absolutely correct. A common sense evaluation of the facts."
"Eileen Arnold","2022-11-14T19:18:42Z","Climate change is a fear being peddled to get stupid people to comply. Probably the same people who took the poison."
"Joe Oconnor","2022-11-14T19:16:51Z","Climate change winter spring summer fall"
"Henry Fackeldey","2022-11-14T18:44:09Z","All of you exaggerate so much. Where can I find tha real truth?"
"Thomas Taylor","2022-11-14T18:37:20Z","Government spending should have a moral basis. And I believe that global warming is way, way down on that list."
"Mari Jo O'Neill","2022-11-14T16:32:35Z","CLIMATES  CHANGE EVERY SINGLE YEAR. IM 79 YEARS OLD. I grew up in the fifties and pur seasons were totally different than they are now.  This is just another way that idiots get money. The seasons nowadays are very different than they were when I grew up in the fifties. Forget about the DENIERS, they are in another universe."
"Mari Jo O'Neill","2022-11-14T16:28:52Z","The ""GREENIES"" ARE IN ANOTHER UNIVERSE."
"Dave Horton","2022-11-14T14:02:56Z","Earth has been around for 4 Billion years, and Temperatures have gone up and Down, but only Democrats can Play God and fix the Earth with your Money, Imagine that."
"Kenny Appany","2022-11-14T10:40:53Z","These scientists that.believe in global warming and climate change don't understand that nature fixes it's self and that's GOD'S business. There millions of people, poor and sick in the world,so spend the money on them rather than on things you can not fix"
"Kenny Appany","2022-11-14T10:40:32Z","These scientists that.believe in global warming and climate change don't understand that nature fixes it's self and that's GOD'S business. There millions of people, poor and sick in the world,so spend the money on them rather than on things you can not fix"
"chris craven","2022-11-14T02:37:30Z","climate change cause by humans was discovered by over unemployed over educated people who come up of an idea ""the sky is falling give me money and I will tell you more about it"". Yes it's true the earth is warming, and has too much CO2 cause by, more likely from, the lack of trees and plant life, Amazon area almost gone. Big cities, parking lots instead of trees and other plant life that would have used up CO2 and produce oxygen, but do we complain about that,,, nooooo."
"Oh What A Day","2022-11-13T20:34:18Z","It’s all fear mongering. It works for those who don’t do their own research to have common sense, logic and principle.  The earth has its cycles man cannot change.  However, man can stop polluting.  You cannot put sun panels where it’s overcast in the cold rainy days.  It’s not always windy for wind turbines.  Not all regions can have either panels of turbines.  It’s all about control and politicians protecting their investments in those forms of energy"
"Jim McFarlane","2022-11-13T19:48:39Z","So there is no deforestation in the Amazon?"
"FAIsurgery","2022-11-13T16:41:02Z","Big oil and coal are funding the fight against going green because they lose money."
"David Oshea","2022-11-13T14:05:41Z","Thank god. A bit ofcommon sense at last.there is enough evidence out there to prove climate change is a naturel phenomenon if you look for it instead of all the climate chang bullshit. We are being manipulated as usual. Read instead of listening to these people."
"John Downey","2022-11-13T11:25:39Z","Plant more trees. Enough said"
"Jack Haypenny","2022-11-13T08:53:31Z","There is no truth in climate change... time continually prove it wrong..."
"Jess J.J. French","2022-11-13T07:34:46Z","The real danger to climate change is politicians opening up their mouth and spilling out all that carbon monoxide and methane does anybody else smell cow farts I smoke dookie......"
"Jess J.J. French","2022-11-13T07:31:27Z","The truth about climate change is I farted after eating a bunch of tacos and burritos with extra hot sauce same with  John Kerry But unlike him I don't have a private jet and travel all over the world talking about the dangers of using fossil fuels🤣🤣🤣🤣🤣 I just like spicy Mexican food poot poot Yet if anybody wants to give me a free private jet to ride around in I won't complain"
"Jesse 1437","2022-11-13T03:49:56Z","I love how yootoob requires a climate change link at the top of the video.  God forbid we have a debate or conversation about the root cause of climate change without big tech forcing its biases on consumers."
"Thomas Mancinelli","2022-11-13T02:27:05Z","What historians will definitely wonder about in future centuries is how deeply flawed logic, obscured by shrewd and unrelenting propaganda, actually enabled a coalition of powerful special interests to convince nearly everyone in the world that CO2 from human industry was a dangerous, planet-destroying toxin. It will be remembered as the greatest mass delusion in the history of the world - that CO2, the life of plants, was considered for a time to be a deadly poison. Quote by DR.Richard Siegmund Lindzen is an American atmospheric physicist known for his work in the dynamics of the middle atmosphere, atmospheric tides, and ozone photochemistry. He has published more than 200 scientific papers and books."
"D Schl","2022-11-13T00:38:15Z","Absolutely its a excuse for the real deal. New Wold Order with elites running our lives"
"jim graham","2022-11-12T22:49:16Z","the government doing what's right, that's a laugh!"
"John Dooley","2022-11-12T20:53:35Z","Elites imposing rich peoples solutions on ordinary people. This is the new religious orthodoxy with believers and non believers. I will take climate change seriously when the world stops all motor sports and leisure flying and all forms of non essential travel.
The rich elites will not do this."
"Robert Robinson","2022-11-12T17:11:13Z","It's a lie 💯💯💯"
"abel garcia","2022-11-12T16:03:44Z","You know it can't get hot enough to cause proteins to denature because that stops all life!"
"lmb .????","2022-11-12T05:17:34Z","Lies lies lies"
"Jim Zanios","2022-11-12T05:12:32Z","Lies,lies,lies it’s a crazy con"
"Drew Z","2022-11-12T03:30:08Z","You know you've stumbled across a good video when it has a blue YT banner underneath it, theManSplainin it for you."
"Rusty's World of Entertainment","2022-11-12T01:11:06Z","Right there, at 2.48, is what it's all about."
"M D Adams","2022-11-12T00:06:29Z","I respect Bill I would like to talk with him, in detail, about this subject"
"Norbert Siewert","2022-11-11T23:47:34Z","I never bought the man-made climate change drivel. It all is about POWER!!!"
"Matthew Gates","2022-11-11T22:31:04Z","The argument is that climate change isn’t a threat?"
"Keith Owens","2022-11-11T17:14:19Z","Yeah there's climate change and climate change started when the ice age came and killed the dinosaurs it started the next damn day and it's been going on for f****** millions of years every how long it's been here who the hell really knows it ain't as bad as they people think it is I just part of the b******* and when wind turbine the solar panels and electric cars probably pollute just as much as a cold fire plant because they're bearing windmills the arms in the ground when they get old where you going to recycle this solar panel stuff some idiot was saying all we can make gummy bears out of wind my wind turbine blades oh yeah you stupid that would be another cancer lawsuit down the road vote Owens 2024"
"GryphonBrokewing","2022-11-11T17:00:09Z","""There is no debate, the science is settled"" is the government equivalent of a parent saying ""because I said so"" and results in most of the people going along with what they're told to do while government officials keep doing whatever they're doing that they say we can't."
"ANDREW SMITH","2022-11-11T14:24:21Z","Carbon dioxide is .06% of the atmosphere"
"Brandon Keith","2022-11-11T14:02:35Z","Nice to see the truth come through, even if it is rare."
"ArcanePath360","2022-11-11T11:03:46Z","It's all bullshit. The last 50 years they've been saying ""We've only got 10 years left!!"" and nothing they predicted even remotely happened. In fact the opposite happened."
"Shazzad Hasan","2022-11-11T09:48:45Z","2:02 ""maybe"" .... btw ice cap of Antarctica is growing rapidly. even Mars, without barely any atmosphere has 2 ice caps. So no ,earth is not going under water."
"Brian Pompei","2022-11-10T22:08:13Z","Mr. Stossel you took government subsidies also. Then you are just as guilty as the people who made those subsidies possible. If you take advantage of the corruption then you are just as corrupt. That is the problem in this country. People talk bad about corrupt policies like you do; then they take advantage of those same corrupt policies. You are a hypocrite sir."
"eldorado","2022-11-10T22:07:27Z","More important to humanity than climate change *theory* =
1. Preventing war
2. Eliminating micro-plastics and nano-plastics from our food chain (and therefore our bodies)
3. Ensure no loss of control, or misuse of AI."
"kenneth gary","2022-11-10T19:12:21Z","If it was this Same temperature 80yrs ago there’s no way we have climate change"
"blitzblutz","2022-11-10T11:54:14Z","I bought into the whole ""polar ice caps were melting and the low areas would be underwater"" nonsense almost 20 years ago.  I loved Al Gore's ""documentary"".  I should've bought a house in Florida in 2008 but thought the state would be underwater by now.  Well it isn't."
"terry lazurko","2022-11-09T19:25:20Z","97% of the bought and paid for scientist agree.
I don't
The only thing that these Green climate people are doing is making green for themselves. The green is MONEY. The Koch brothers, Al Gore, and all these other wealthy people who are saying stop putting CO2 and methane into the air. Check out how often they are on their private jets, jet setting around the globe. They don't run on unicorn farts. These people and I use the term mildly don't care how much green house gasses they put in the atmosphere. don't care about cutting forests down for biomass plants. They only care about making money. There is never enough of that for them.

Earths atmosphere is composed of the following

78.084 % Nitrogen
20.946 % Oxygen
0.9340 % Argon

0.0417 % Carbon Dioxide (CO2)
    3% of 0.0417% created by Humans (3% =.001251%)
    of 0.0417% Nature produces 97% CO2 (97% = 0.40449%)

0.001818 % Neon
0.000524 % Helium
0.000187 % Methane
0.000114 % Krypton
0.00005 % Hydrogen
0.0000087 % xenon
0.000002 % Nitrogen Dioxide
0.000001 % Iodine 
Carbon Monoxide (CO) trace amounts
Ammonia (NH3) trace amounts
Water vapor (H2O), air can contain as much as 5% water vapor, more commonly ranging from 1 - 3 %.  The 1 - 5 % range places water vapor as the third most common gas (which alters the other percentages accordingly). 

So if we increase the CO2 by even 10 % it is nothing. No oceans rising. Plants will grow better.
And now they are adding Methane to the mix of what is going to kill Humans

So, in conclusion we are in trouble from the climate crazies and governments."
"Jerry PEAL","2022-11-09T16:33:31Z","Idiots"
"Mark Mccarty","2022-11-09T16:09:02Z","There are biological organisms that use the carbon dioxide and release oxygen. Their called TREES! Noone takes into account the decimation of the rainforest  when they scream about global warming! The developed Western country's have really cleaned up they're act! Now these 3rd world developing countries aren't gonna have any part of it! The ones that have rainforest are going to use the trees as a valuable commodity! We're cleaner than we've been from the start of the industrial revolution! When the first settlers came to America the East coast was forest! Going electric with the infrastructure we currently have is not fissable! And, with 81% of the electricity coming from burning hydrocarbon based fuels it isn't even clean!!"
"Tobias Reaper","2022-11-09T14:38:06Z","3:10 yikes 😬"
"Dan Stephensen","2022-11-09T08:49:00Z","Here’s the Truth most are ignoring:  Nature’s warning and cooling cycle is JUST that~~ A Cycle, meaning it cycles Up And and Down!
There is NO stopping of Nature. Just sit down and conserve water 💦"
"Davids Channel ","2022-11-09T06:13:52Z","Way to blow a hole John in 97% of scientists claim!!"
"Banana Man","2022-11-09T04:08:34Z","I'm just gonna point out that CO2 and temperature are always historically the highest right before an ice age.  Also we are supposedly due for an ice age soon so..."
"CLAY STONE","2022-11-09T00:18:45Z","Global Warming has NOTHING to do with Pollution it has all to do with Mans Heart and Minds. As Man becomes more Anxious and more Sinful the worse the Environment as each man is a Walking Universe and holds the Universe inside. A Universe under stress becomes Manifest in Reality. This is why Millions need to Pray with humility and humbleness of heart."
"Paul Shoen","2022-11-08T23:39:54Z","You didn't live in LA in the 60s. Smog so bad it burned your eyes."
"sturmer","2022-11-08T22:18:27Z","If fossil fuel is as evil as the Greenies claim, then God wouldn't have provided it for our use!"
"Curtis Smith","2022-11-08T21:50:17Z","The sun itself gets a fraction hotter each year that's a fact but know one calculates it in when they talk global warming. The sun getting hotter each year has to have a direct effect on the earth getting warmer and yet not a peep, out of those so called scientists..."
"chrisdigital","2022-11-08T20:38:24Z","They give no fucks about us, just want the elites to survive."
"Ziplokk","2022-11-08T18:00:20Z","The very instant someone uses believe and science in the same sentence, paragraph or whatever, they've lost me.  People grew tired of hearing ""theory"" or ""theoretically"" so universities and government just dropped that very important distinction.  They did it a long time ago with medicine and evolution.  They've tried it with the climate and people are buying it less and less thankfully."
"Chris Crawford","2022-11-08T17:12:10Z","What a crock! Has anybody noticed the droughts in large areas? The floods? The wildfires? The extreme cold that killed over 200 people in Texas? (Yes, that WAS the result of climate change!) The facts are staring us in the face, and Mr. Stossel has gone from denying science to denying simple weather observations."
"Charlie","2022-11-08T14:41:10Z","Been looking out the window for 50 yrs and it's the exact same lol"
"Jim","2022-11-08T14:23:00Z","The only ones hurting the climate are the climate hustlers"
"Scytale Ghola","2022-11-08T12:12:04Z","This is dumb. It assumes that the biggest climate threat to humans are heat exhaustion or drowning. Humans are very adaptable. If it gets too hot, we create environments where we can exist comfortably. If it gets too wet, we move to higher ground. However, if our food supply is threatened, we can be in really big trouble. Our food supply is entirely dependent on small creatures known as pollinators (bees and such). If they cannot do their job, we all die. They cannot adapt the way we do. They only adapt through evolution, which is a much slower process. Small changes in temperature can greatly impact their health and the ecosystems they depend on. A few degrees change too quickly can be catastrophic.
It's OK, though, they will probably survive in small numbers and eventually restart the cycle... and maybe those pesky people will have gone the way of the dodo... done in by their own arrogance and inability to perceive the big picture."
"James Cox","2022-11-08T04:04:30Z","In 1984 I was in grade 5. At that time we were forced to believe, ( by fear of death, absolute certian death of our mom, dad and siblings) that if the earth was to increase by a 1/2 degree, all life would cease to exist. We were told the oceans would dry up after melting the polar ice caps in a very short period of time. No wonder they have had such an easy time making people believe their bullshit. 

The only green in green energy is the colour of money."
"RONNIE WALL","2022-11-08T01:31:07Z","JOHN SHUT UP YOURE FAKE AS HELL."
"_ Oly _","2022-11-08T01:22:04Z","Then do something about China and India who are among the biggest polluters on the planet..but no 🤔"
"Hoschi0913","2022-11-08T01:07:45Z","so its getting warmer and at the same time they want NO CO2 around....... sounds to me they want to have desert all over the place, cuz NO CO2 means NO Plants & Trees & Bushes & Grass........ oh and we as human would be next in line after the Plants go, cuz no more Oxygen producer !
and btw from where does Degrassy Tyson gets the extra Water from to ""make the Ocean raise"" by the 30+ ft as he assumes ? i mean after all he is a ""Scientists"" and should be rather very good in mathematics, to calculate the volume of the all melted Ice and Snow we have on Earth, cuz by my calculation there are roughly about 35 trillion cubic feet of water from the molten Ice & Snow in volume missing"
"Mitchell Maerz","2022-11-07T23:37:56Z","The earth goes through many changes. The dust bowl of the 30s lasted for almost 10 years but nobody seems to really mention that when it comes to the stock market crash in world war II if there was a big change in the environment and it lasted for over 10 years it might actually lead to financial ruin and maybe another world war although we've done lots of things to try to alter the climate after all both the US and the Soviet Union and the Cold war let off more than 1,000 into the bumps"
"Paul Stuart","2022-11-07T23:22:00Z","I have no issue with anyone giving me clear evidence around climate change. So long as its not the government, a big powerful corporation with vested interests, or anyone talking to me around 'beliefs'. Have we not learned anything from the recent covid propaganda machine, completely assaulting reality in every way possible."
"John Ulmer","2022-11-07T18:16:24Z","Here's an inconvenient fact. 15000 years ago there was an ice age and then it warmed up. I guess the mammoths and saber tooth tigers were driving big carbon emitting SUVs. So, just because we like the climate where it's at, it's supposed to stay this way, even though it's changed drastically over the millions of years that the earth has had an atmosphere. This is human hubris and denial. Humans can adapt to the environment, but stupidly thinking we can control everything will be our undoing."
"Guy Marsh","2022-11-07T15:30:41Z","Here's an inconvenient fact: John Stossel has been funded by the Koch family and other fossil fuel-centered interests for several years. So, he's lying about the climate catastrophe because he is being (paid) to do so."
"Gooper Loper","2022-11-07T07:51:13Z","There's a lot of myths in this video and/or just wrong ethical conclusions from agreed facts. 

If co2 is correlated, you don't mess with it. One spaceship. Not for experimenting."
"Faith Painting","2022-11-07T01:04:42Z","It's called pollution. Don't make it more difficult to understand. Clean it up."
"Bernard Hutchinson","2022-11-06T19:19:22Z","Obamba was  one of the worst presidents in US history b/c he lied about most things & did little to nothing for the black population in America! He probably killed more innocents by drone attacks than GWB did."
"Bernard Hutchinson","2022-11-06T19:12:53Z","Well, Neil DeGras Tyson says he’s a scientist but is he a climate scientist? Are there any real climate scientist or is he an informed Astro P😊hysicist who just thinks he can be a climate scientist?"
"Steve Dunning ~ Ducking Giraffe","2022-11-05T22:33:44Z","If every last one of the thousands of climate change scientists are ALL wrong  and we take action we loose a few trillion $ unnecessarily spent - but live in a cleaner world. 
If they're right and we take NO action we're ALL screwed and there's no coming back. The cost of 5 Iraqi wars? sounds like cheap insurance to me."
"Capt RRRdog","2022-11-05T22:12:10Z","Go all electric with SEG Magnetics. They have technology to get us there."
